canal,mes_año,SLA,SLA_over,perc_error_median,cant_predicciones
AB,202010,0.625,1.0,-0.09267810903073018,8
AB,202011,0.5238095238095238,0.8571428571428571,-0.06475260738018848,21
AB,202012,0.36363636363636365,0.7272727272727273,-0.05902921595860433,22
AB,20211,0.2903225806451613,0.5806451612903226,0.05551488924823327,31
AB,20212,0.4,0.9,-0.08850274309559855,10
MB,202010,0.375,1.0,-0.13481667221428595,8
MB,202011,0.3333333333333333,0.3333333333333333,0.1489014345952118,21
MB,202012,0.09090909090909091,0.18181818181818182,0.4274660143615501,22
MB,20211,0.41935483870967744,0.7741935483870968,-0.045934912940581135,31
MB,20212,0.3,0.7,-0.05085630421875738,10
